Cluster,Mag_Range,N_Sample,f_bin_1g_mean,f_bin_1g_std,f_bin_2g_mean,f_bin_2g_std,ratio_mean,ratio_hdi_low,ratio_hdi_high,w_field_mean,fit_flag
NGC2808,20-21.5,5000,0.2592154587624769,0.022087870346264384,0.05256825371847766,0.025429994343139906,0.2063343627552854,0.021312177722773634,0.4076542409920196,0.007373356667484679,1
NGC6388,20-22.5,5000,0.3031135436321251,0.03961965736380123,0.03322881494048757,0.020284987968003924,0.11191899371321448,0.004649509162988817,0.24656484986149016,0.0043835935310557635,1
NGC6397,17.4-20,3412,0.13061328047428747,0.015781168025460323,0.006638935293800602,0.004761575655400561,0.052301425009641904,0.00020838737461479156,0.12845170820503343,0.032718930317607746,1
NGC6441,20-21.5,423,0.11703280244271205,0.10811196124214224,0.2689738989392959,0.1297976456371007,6.668073411867203,0.005581473966843918,19.02179181243446,0.008166473385358797,2
NGC6496,19.5-21.8,2490,0.26615572744060767,0.23769472429281954,0.20795809124228282,0.1793953445984668,13.1183833477575,0.00019755682864550894,42.34579037196855,0.029975411984554702,3
NGC6535,19-21.5,802,0.05380279548390985,0.02360520851719674,0.09718669681031114,0.03603331288006188,2.8988331681675907,0.19351760396407972,7.133970417314385,0.005131179486580931,2
NGC6541,19-21.5,5000,0.1820548001759209,0.14497487009661741,0.1796992953794049,0.14492362243985468,5.676020142515416,0.010430094728920807,17.510573464262887,0.023950240875110537,3
NGC6624,20-22,3242,0.19704022940748064,0.03943353589583584,0.03688817889360987,0.02138741767005384,0.190393952593783,0.008182918019036974,0.38761309620580003,0.020046139724829534,1
NGC6652,19.6-22,3371,0.2534133978277917,0.050786355696895345,0.025639054513120322,0.01402362169679836,0.10626251880834608,0.0014449618287538408,0.22776754041458938,0.005781497227937908,1
NGC6656,17.8-21,5000,0.24022103620012086,0.020878043548542162,0.02493259846080263,0.010745069588852988,0.10586266833829017,0.010857856793182637,0.19711687093623204,0.006407883792897389,1
NGC6715,20-22,5000,0.6947470734926405,0.03080614325149855,0.2395079201722781,0.022535150047726268,0.3453539050371677,0.27508126093804675,0.4135608018054143,0.010068765101271736,1
NGC6717,19-21.5,1768,0.6377556506782641,0.07111519596830845,0.01487651310593169,0.010660684769878224,0.023740787334140402,2.5355716635240503e-05,0.05843658634241932,0.006250714457927953,1
NGC5272,19-21.5,5000,0.048589464533147456,0.030461443269222736,0.04632480007168624,0.02873303556025744,2.4683096289500988,0.016049067879895004,8.512172152735412,0.1663820111808184,3
